Instancia,Mejor evaluación,Temperatura inicial,Temperatura final,Tiempo de ejecución
a280,25370.544860639344,20,1.8181818181818232,6.378478527069092
a280,24266.82673116644,20,1.8181818181818232,6.928118944168091
a280,25560.586709265626,20,1.8181818181818232,6.44849419593811
a280,24864.421499022406,20,1.8181818181818232,6.516045808792114
a280,25427.38131269821,20,1.8181818181818232,6.431833028793335
a280,24242.63392997581,20,1.8181818181818232,6.33470892906189
a280,24373.407825898103,150,1.973684210526327,6.297098159790039
a280,24877.214690307024,150,1.973684210526327,6.588600397109985
a280,24932.173789378663,150,1.973684210526327,6.60780143737793
a280,24410.18272033295,150,1.973684210526327,6.380751132965088
a280,24097.431040407264,150,1.973684210526327,6.486233234405518
a280,24195.120054891653,150,1.973684210526327,6.426254034042358
a280,23563.647356313882,200,1.9801980198019897,6.361260652542114
a280,24060.35499298744,200,1.9801980198019897,6.347027778625488
a280,23337.77643430218,200,1.9801980198019897,6.205047845840454
a280,24315.870671100594,200,1.9801980198019897,6.48341965675354
a280,23874.321805508713,200,1.9801980198019897,6.434703588485718
a280,24630.173307045476,200,1.9801980198019897,6.195708513259888
a280,23171.038740198434,1000,1.9960079840319447,6.286754369735718
a280,24651.0563486715,1000,1.9960079840319447,6.284878969192505
a280,22786.534819933084,1000,1.9960079840319447,6.275697469711304
a280,24812.763620191072,1000,1.9960079840319447,6.5551652908325195
a280,24835.54518918041,1000,1.9960079840319447,6.470769643783569
a280,24182.22306098488,1000,1.9960079840319447,6.4317076206207275
a280,24215.56922273127,2000,1.9980019980020065,6.293586492538452
a280,24002.227497770735,2000,1.9980019980020065,6.503616094589233
a280,24159.71131823177,2000,1.9980019980020065,6.523501396179199
a280,23079.330076478203,2000,1.9980019980020065,6.6574788093566895
a280,26662.927581739088,2000,1.9980019980020065,6.4915032386779785
a280,23025.42011452617,2000,1.9980019980020065,6.451026678085327
