Iteración,Función de evaluación
1,12780.544467104393
2,12807.569684647768
3,12712.25260063485
4,12713.105502958726
5,12740.526014889085
6,12612.156246966932
7,12611.998464188435
8,12592.056543125324
9,12658.735331791744
10,12670.268619847782
11,12590.488262556388
12,12660.651140742262
13,12613.101974175668
14,12613.101974175668
15,12577.380933599714
16,12577.105859180027
17,12678.055115171821
18,12581.308959225655
19,12626.067654611481
20,12583.007716153987
21,12769.531630681431
22,12597.613201421507
23,12587.746555826623
24,12552.965099925157
25,12619.119137153306
26,12552.297307632605
27,12552.144041275456
28,12621.954427712519
29,12475.973499679727
30,12454.600749999736
31,12454.758532778233
32,12410.625936525801
33,12401.19384849569
34,12401.75355380014
35,12413.868914394146
36,12406.299346350388
37,12331.815460185426
38,12218.98495979653
39,12218.946273405
40,12224.890610900235
41,12235.632740121047
42,12242.33661765524
43,12171.863233387981
44,12178.567110922173
45,12101.753904639492
46,12081.133792091772
47,12073.635656709193
48,12078.56903588284
49,12078.404886491615
50,12071.233052366875
51,12133.419385688023
52,12074.205698078498
53,12070.997552650422
54,12069.29879572209
55,12034.780472373208
56,12044.90687380506
57,12052.378579147935
58,12042.350040416964
59,12009.911224776171
60,12086.724431058852
61,12019.52185192467
62,12019.556612661585
63,12087.559956841691
64,12087.559956841691
65,12016.77520581997
66,11972.089472992137
67,11925.99550978727
68,12004.207586509729
69,11920.508849811678
70,11914.053210997628
71,11964.386027404056
72,11949.530792951802
73,11919.48384306002
74,11920.373096481795
75,11939.210405780821
76,11909.825652192987
77,11960.340536651778
78,11944.343975541873
79,11945.089587011294
80,11894.668872964452
81,11912.266979739179
82,11912.294392312162
83,11922.096314912862
84,11918.750031126212
85,11919.417823418764
86,11918.091985888366
87,11984.936627002742
88,11937.741439657304
89,11873.247523804619
90,11892.930979003024
91,11823.666854921972
92,11808.128127677828
93,11753.957965434514
94,11773.899886497626
95,11757.597038636743
96,11760.816868885355
97,11805.50260171319
98,11762.515625813687
99,11794.95444145448
100,11750.846742780326
101,11817.000780008475
102,11750.819330207341
103,11828.388477265875
104,11747.599499958731
105,11745.203119782698
106,11736.647462923902
107,11696.959354112978
108,11716.788653455711
109,11699.587585062634
110,11739.207784021177
111,11690.879079499986
112,11685.57127014333
113,11682.943039193671
114,11688.42969916926
115,11693.73750852592
116,11687.357866428745
117,11688.152373189227
118,11688.769702465186
119,11683.461893108528
120,11776.775905866174
121,11705.580994443359
122,11711.893168191575
123,11678.528513934882
124,11678.555926507866
125,11672.611589012631
126,11738.98889380227
127,11675.509488848264
128,11695.932826599757
129,11729.434844453071
130,11571.192109931915
131,11582.475714120763
132,11528.505378182486
133,11521.81044759973
134,11487.736545660879
135,11487.068753368329
136,11496.50084139844
137,11454.80514164071
138,11453.915888218933
139,11454.80514164071
140,11620.300771680868
141,11527.07590719996
142,11458.024971889323
143,11446.72143842336
144,11448.67370532719
145,11431.075598552465
146,11417.250912846876
147,11414.690301116594
148,11407.976415033567
149,11407.416709729116
150,11388.566384619722
151,11442.736546863036
152,11510.631347093193
153,11400.235267653083
154,11397.89635080484
155,11417.729431404488
156,11461.711066093538
157,11393.766403180758
158,11421.28806968305
159,11392.882547112837
160,11240.783776006774
161,11193.970212584612
162,11201.39177247247
163,11193.080959162837
164,11198.68284111838
165,11195.64157089312
166,11273.84670794291
167,11192.819762769897
168,11246.989925013211
169,11170.391187746456
170,11149.967849994964
171,11183.971518208295
172,11057.43193722682
173,11057.596086618043
174,11078.904678495213
175,11108.110971076832
176,11064.767920742785
177,11065.885757072749
178,11146.177074850308
179,11059.703189219828
180,11176.923550170484
181,11084.136472686334
182,11027.50150432194
183,11121.795765077488
184,11020.329670197198
185,11047.851336699488
186,11032.659386962394
187,11020.482936554345
188,11113.018849322489
189,11046.837003378994
190,11017.668476044408
191,11043.906101444867
192,11034.010398080969
193,11024.048118141583
194,11033.850040742285
195,11029.01717415473
196,11046.387063249127
197,11022.56153534068
198,11032.198351827035
199,11038.03717312802
200,11032.055152460442
201,11014.038966938759
202,11015.327317726727
203,11032.697206821125
204,11025.19302302404
205,11110.278982438167
206,11022.488144764986
207,11088.642181993137
208,11025.970926037644
209,11068.657657787071
210,11111.05688545177
211,11052.208551438103
212,11130.420628160562
213,11120.823600537042
214,11071.949568748212
215,11009.927502094126
216,11039.041829200758
217,11016.626163362373
218,11029.71618176723
219,11032.046603428957
220,10903.073352805764
221,10958.82463986476
222,10945.760084555191
223,10896.356441324795
224,10962.733746114434
225,10944.670669320752
226,10909.387445989985
227,10918.475542659624
228,10898.021937984378
229,10931.319020442912
230,10894.394200957864
231,10874.019098274563
232,10898.495997089194
233,10952.224235324353
234,10881.190932399302
235,10953.685904394457
236,10774.346158000179
237,10767.775163949971
238,10772.183984488898
239,10800.20923952624
240,10771.390983903872
241,10848.960130962401
242,10711.793787850673
243,10731.735708913784
244,10717.411842799775
245,10765.46944957129
246,10817.084783074159
247,10728.695446988622
248,10847.247264554035
249,10739.530944134603
250,10856.12074479297
251,10726.386712609947
252,10721.81266721704
253,10739.411696298692
254,10721.820663338702
255,10802.111981116259
