Iteración,Función de evaluación
1,11890.193557430923
2,11831.820343887346
3,11837.378364555207
4,11735.026853092679
5,11759.719146190682
6,11693.295494665792
7,11666.089319398612
8,11667.661195322751
9,11668.799866545818
10,11646.55916467488
11,11595.179841767382
12,11581.925175421558
13,11570.578940219395
14,11576.685515156958
15,11570.950658166814
16,11615.112183517345
17,11639.305625005336
18,11652.846778786623
19,11646.605601506577
20,11696.486897625335
21,11642.845707603334
22,11667.53800070134
23,11639.981445010133
24,11629.890827868376
25,11626.901397181666
26,11625.307434445176
27,11672.521187159186
28,11785.988955006065
29,11653.618745732765
30,11657.378639636008
31,11661.191644178127
32,11663.642475574605
33,11678.364495260694
34,11616.428722860597
35,11639.594128183318
36,11740.46026248491
37,11645.156755500433
38,11651.598573972042
39,11613.648027959072
40,11554.07072054674
41,11572.973161973161
42,11577.501789767468
43,11620.268307063192
44,11609.64539926335
45,11612.364688831554
46,11619.663859830132
47,11614.10583916227
48,11657.099906129048
49,11667.511306233617
50,11624.51723926684
51,11657.731117667421
52,11644.189963886134
53,11642.393062641793
54,11643.303788863122
55,11645.031799648576
56,11600.870274298046
57,11602.428877964387
58,11601.30805191787
59,11639.258597930839
60,11587.890579884064
61,11653.825352631751
62,11557.014964044653
63,11516.162869105108
64,11508.287628678452
65,11518.378245820208
66,11491.590100096044
67,11541.469956007619
68,11582.322050947161
69,11574.311094465438
70,11486.58851624936
71,11492.14653691722
72,11564.074011257382
73,11498.643402167585
74,11517.040840747464
75,11531.987996323456
76,11595.819975700018
77,11605.99008072816
78,11607.786981972502
79,11657.273719244855
80,11722.70432833465
81,11725.208249948191
82,11716.548079255635
83,11689.751872080422
84,11665.586919997717
85,11789.779818734974
86,11693.982570728494
87,11663.136485887255
88,11665.349655939302
89,11620.21797286148
90,11724.054993377515
91,11622.875042312886
92,11653.65020208239
93,11689.034561913162
94,11707.916488513685
95,11687.972808734354
96,11812.190615574556
97,11747.366766016512
98,11688.204629934755
99,11651.266618852354
100,11655.30339168564
101,11636.40095025922
102,11633.681660691018
103,11645.34261466848
104,11767.073858597832
105,11658.883768449767
106,11652.150749025375
107,11708.553236696891
108,11640.507093505048
109,11660.616730109832
110,11697.55474119223
111,11718.16400611045
112,11725.959469596603
113,11720.403280248374
114,11720.551016517176
115,11718.204446675063
116,11831.672214521946
117,11712.446000588805
118,11679.344649784602
119,11677.772773860463
120,11676.478424797737
121,11673.415233212068
122,11644.078987397912
123,11695.45831030541
124,11692.801240854005
125,11646.801877573052
126,11636.158152897062
127,11679.15221986384
128,11648.598583450283
129,11635.615550658833
130,11600.59698039377
131,11618.727195858071
132,11604.012186171969
133,11560.293208121857
134,11564.988851067566
135,11561.861502345831
136,11564.9246939315
137,11497.125826169851
138,11510.596783561967
139,11482.50538287494
140,11478.470909974938
141,11461.558544882959
142,11369.307784974808
143,11210.188130683555
144,11174.580497494246
145,11172.49336274004
146,11181.01980539868
147,11202.888262648785
148,11246.012458895591
149,11200.89642386301
150,11216.898494825857
151,11306.93314067912
152,11268.881931378412
153,11233.166894425076
154,11277.008709341546
155,11292.460655688368
156,11251.002625062807
157,11272.724437236957
158,11284.10397586701
159,11285.893925942364
160,11338.526000593964
161,11297.537581462693
162,11256.685486523147
163,11236.691240481614
164,11224.032716440635
165,11223.62637781339
166,11281.158545109593
167,11281.020826172547
168,11220.610251590953
169,11217.547060005285
170,11185.23966376446
171,11186.83362650095
172,11108.89064941126
173,11142.11502824714
174,11111.811871378295
175,11205.582378139045
176,11176.620225264305
177,11179.07065937477
178,11184.829105461029
179,11278.010516892557
180,11188.002607852128
181,11191.340707857618
182,11192.912583781757
183,11224.533633627914
184,11202.925599636557
185,11161.63528080887
186,11187.98749512752
187,11106.968080503633
188,11140.234189878433
189,11140.753647190628
190,11144.499159791063
191,11181.36815884975
192,11212.298027552713
193,11208.902150594957
194,11114.57002734155
195,11155.634744754458
196,11217.099361609675
197,11216.57990429748
198,11243.376111472695
199,11271.247104602717
200,11183.313794922682
201,11183.743783234011
202,11160.96250566605
203,11166.685158749942
204,11164.225083611316
205,11166.882153062721
206,11150.939668417082
207,11153.644273715163
208,11166.879763698322
209,11284.888379067637
210,11115.959793840766
211,11127.751381000817
212,11137.56435913614
213,11128.431970574857
214,11167.918895997127
215,11155.47277502468
216,11249.24328178543
217,11165.361729246835
218,11147.323338745875
219,11134.590647137558
220,11126.779277175228
221,11119.269720612207
222,11116.348498645175
223,11166.014284462179
224,11209.731842475532
225,11106.535520509851
226,11105.82584610337
227,11166.54924367061
228,11087.990115465638
229,11084.65201546015
230,11191.176856988852
231,11057.856261018716
232,11094.725260077399
233,11068.010959782703
234,11067.350542734257
235,11094.14674990947
236,11063.313769900971
237,11063.294128797206
238,11096.518507633085
239,11048.735887684652
240,11063.717750719541
241,11059.298133162174
242,11053.77193974966
243,11073.530967171037
244,11060.971532564556
245,11108.51767863959
246,11095.172259085311
247,11126.828103706568
248,11141.38634481912
249,11128.81994249234
250,11126.695999244748
251,11136.508977380072
252,11141.305745173806
253,11041.106153372832
254,11157.726552510716
255,11034.816149877246
256,11145.965039221579
257,11097.304703592381
258,11095.539547444485
259,11037.737371844278
260,11037.771061804753
261,11097.358911791847
262,11100.259615519888
263,11115.416257234805
264,11093.439197350785
265,11098.23596514452
266,11141.954943194633
267,11152.98170403445
268,11214.856364282405
269,11126.507832473111
270,11109.668499078263
271,11061.177721492677
272,11060.76599462629
273,11066.292188038802
274,11141.090798294776
275,11061.495420245068
276,11101.01577067003
277,11116.499395752078
278,11185.60478140251
279,11119.239271262693
280,11199.295849252649
281,11133.954280948798
282,11177.673258998908
283,11156.194982819736
284,11145.37045599442
285,11078.871730582292
286,11028.13848576612
287,10990.750440079351
288,11018.841840766378
289,11055.01763482132
290,11065.877934150853
291,10960.019183934903
292,10993.234087908873
293,10988.414834665678
294,10988.434475769445
295,11030.977225961948
296,10982.908282356932
297,11105.932948637834
298,11041.57450645612
299,11109.605757113932
300,10958.714840868939
301,10975.812438388333
302,10972.63435976005
303,10974.657325514578
304,10982.1668820776
305,10974.657325514578
306,10975.069052380964
307,10976.145314347064
308,10929.615310082561
309,10959.470682952913
310,10926.441807691463
311,10910.499323045824
312,10837.848381879552
313,10854.213174922039
314,10853.801448055652
315,10856.960553661062
316,10949.39572383823
317,10906.374272032097
318,10990.209675814724
319,10855.38867773692
320,10856.57553046936
321,10899.237424836858
322,10944.45728460246
323,10885.465133877891
324,10885.499799474415
325,10886.01925678661
326,10886.083592187213
327,10861.333767170916
328,10897.50956122586
329,10899.295487524143
330,10932.585799171247
331,10945.47006219856
332,10947.930137337185
333,10980.778483083865
