Iteración,Función de evaluación
1,19311.05791125891
2,19354.82064527841
3,19355.68002265607
4,19377.499110841847
5,19371.354538017567
6,19381.993982861743
7,19388.121330753936
8,19404.688832904576
9,19390.95232171716
10,19411.778515984366
11,19417.960167128836
12,19427.53584724549
13,19425.255124011514
14,19408.687621860878
15,19332.355443879824
16,19339.283914143438
17,19351.355946003994
18,19255.713183404667
19,19238.389950781133
20,19207.930815720476
21,19157.341769452698
22,19184.58102736141
23,19199.03942084624
24,19188.522475737755
25,19236.57270433751
26,19232.202143884264
27,19335.226052233804
28,19345.20703548752
29,19340.838346122546
30,19274.18111819587
31,19255.82332671684
32,19293.260657925883
33,19308.14783743366
34,19221.845840627077
35,19216.683474630052
36,19118.84459990805
37,19122.210238267675
38,19178.815087575713
39,19076.647132432372
40,19116.902743240775
41,19051.033405515605
42,19053.95948642742
43,19044.254467562998
44,19103.51333601305
45,19031.548794501265
46,18992.57309388277
47,18986.334782352795
48,18999.827383246236
49,19036.95091463109
50,19036.531175455377
51,19036.609107394834
52,19047.398898807376
53,19027.050376795814
54,19036.360389830013
55,19038.193739095703
56,19027.915142924056
57,19016.91956088011
58,19017.01500143085
59,19029.087033291406
60,19037.234420714565
61,19042.24661174059
62,18941.068393781166
63,18928.555416034433
64,18908.257082811466
65,18911.59061694674
66,18905.937621831035
67,18808.20881072995
68,18813.309378130798
69,18807.59314183292
70,18799.968957591656
71,18796.138315676784
72,18815.363784488647
73,18986.191612446833
74,18788.38464592615
75,18820.475627163512
76,18821.633381966938
77,18848.25471755547
78,18861.981100943536
79,18949.30900032723
80,18950.706635412505
81,18938.606853113553
82,18930.764088178614
83,18917.976002898708
84,18948.898240878072
85,19010.882966083496
86,18942.75077193656
87,18876.697801230035
88,18875.54004642661
89,18881.687515368125
90,19001.92186063048
91,18889.530280303065
92,18840.08555332149
93,18760.824674518706
94,18851.654195609783
95,18856.816561606807
96,18861.402909371092
97,18855.213262864883
98,18972.95810546703
99,18866.99204596779
100,18895.15725703179
101,18863.46894285751
102,18815.418714257758
103,18850.81404569026
104,18840.630271024158
105,18825.32251705701
106,18843.273101322677
107,18809.546646167895
108,18814.57558008339
109,18778.624408188527
110,18824.187514023834
