Iteración,Función de evaluación
1,19838.849908243414
2,19840.18261085178
3,19799.91032254796
4,19766.23923889596
5,19763.76448061446
6,19767.339016781058
7,19762.967364710923
8,19815.01882686259
9,19780.156221451107
10,19719.955069945856
11,19726.446180804203
12,19703.004167751045
13,19714.818574012832
14,19727.84927807912
15,19732.649478140178
16,19713.342624587138
17,19705.632974741686
18,19731.73397788876
19,19608.23030381823
20,19607.69189812946
21,19584.53429497307
22,19645.38509695828
23,19642.138887573437
24,19642.757635095455
25,19612.685145326403
26,19566.88990066989
27,19523.9194261183
28,19511.913641545772
29,19518.784132707653
30,19544.35071024201
31,19465.15425737564
32,19458.150679358645
33,19462.95595870472
34,19480.899459149772
35,19477.063980546285
36,19503.834302310654
37,19506.66622957171
38,19498.507955554258
39,19550.186932618108
40,19543.640339561258
41,19571.56585079685
42,19549.437424143238
43,19641.224577175533
44,19671.580417511035
45,19698.12457115641
46,19645.120585541124
47,19653.972485537346
48,19665.04357452871
49,19634.687734193205
50,19645.783098764266
51,19602.49332665507
52,19601.176399032756
53,19618.297609051344
54,19583.284003888886
55,19607.702500864445
56,19610.74036642027
57,19586.223274614917
58,19599.97526760838
59,19579.926018641512
60,19554.65640188002
61,19470.924222696183
62,19496.554077579305
63,19491.9849267008
64,19423.158936355092
65,19418.065346101288
66,19486.061464358736
67,19448.421186436794
68,19363.82980548823
69,19357.598594607647
70,19334.68012548607
71,19335.281370322784
72,19368.952453974784
73,19378.12919998027
74,19372.5641138331
75,19361.493024841733
76,19334.937231815744
77,19327.05596125419
78,19350.49797430735
79,19332.81813330688
80,19307.188278423753
81,19301.58329852992
82,19423.271335439073
83,19414.42042243868
84,19408.798711634143
85,19402.81706594872
86,19326.061818131064
87,19341.547034310315
88,19351.09085039742
89,19371.595228747916
90,19350.06815837398
91,19361.008881390615
92,19357.771564638475
93,19334.39389597907
94,19313.913946594646
95,19320.50348138161
96,19320.836527803072
97,19204.68260857842
98,19279.06000362309
99,19367.02845498477
100,19343.445357922225
101,19295.588752246702
102,19301.064791056677
103,19310.361292779853
104,19253.687941233966
105,19262.393950680373
106,19235.19477999153
107,19226.11229164436
108,19246.161540611225
109,19205.42331209829
110,19182.74436975685
111,19183.503588124466
112,19243.102304906526
113,19256.807167552135
114,19220.252017999454
115,19228.177838912867
116,19251.555507572273
117,19259.11858209348
118,19276.79842309395
119,19284.739189112162
120,19330.25850830473
121,19323.773182147597
122,19318.96432018804
123,19280.131096493387
124,19279.37187812577
125,19292.075059090348
126,19218.69808504363
127,19263.42465292801
128,19300.87075189274
129,19299.939221751112
130,19262.334608892168
131,19255.74507410521
132,19185.497558418996
133,19145.195467632177
134,19147.030610110065
135,19028.131487857027
136,18904.88186847564
137,18908.207016215158
138,18908.103796117757
139,18862.92438684318
140,18940.559497683116
141,18939.844941425297
142,18873.99547583454
143,18826.2587360975
144,18824.430104753686
145,18824.533324851087
146,18831.01865100822
147,18850.006946893467
148,18822.07429809945
149,18903.617664876885
150,18859.837038579884
151,18821.24801252269
152,18755.90156385392
153,18755.282816331906
154,18729.747915321823
155,18744.671294080854
156,18764.67070419215
157,18756.72993817394
158,18781.28966439977
159,18767.201473190224
160,18737.569574696725
161,18762.129300922556
162,18768.36051180314
163,18768.187048351923
164,18723.156083340207
165,18727.397859993856
166,18716.60582852418
167,18695.601374867925
168,18691.39342993062
169,18710.381725815867
170,18705.690794424918
171,18731.346497345345
172,18780.526590345384
173,18690.969137746826
174,18702.406093644327
175,18706.959342643953
176,18650.202661287025
177,18645.960884633376
178,18667.175263727695
179,18660.68993757056
180,18749.792502552024
181,18690.32183606406
182,18660.586717473157
183,18637.71972399338
184,18629.21953898633
185,18596.91216855184
186,18596.775236778412
187,18584.521022989833
188,18629.57949600739
189,18632.44319516835
190,18636.04597052898
191,18653.528972511052
192,18659.539864072714
193,18656.254616911756
194,18660.496393565405
195,18555.739797658876
196,18628.618199167802
197,18624.46841010719
198,18614.924594020085
199,18617.882931086984
200,18604.241408734437
201,18732.60607514005
202,18607.95411043785
203,18669.019905278452
204,18616.898463346617
205,18561.68192141164
206,18512.501828411594
207,18544.809198846084
208,18534.15613475199
209,18562.087769403468
210,18534.28639894921
211,18480.02481255856
212,18481.26058503209
213,18447.58950138009
214,18401.567480124093
215,18388.193214025006
216,18380.002761872864
217,18353.53956054389
218,18355.1981459234
219,18367.45235971198
220,18352.437434745865
221,18323.41579624689
222,18322.081223706584
223,18349.99522072212
224,18364.866276543013
225,18451.261342702186
226,18310.31319717163
227,18362.67439659495
228,18494.31736868314
229,18346.265012593758
230,18308.642812691614
231,18335.10601402059
232,18334.5487390593
233,18336.92515913075
234,18311.26945621032
235,18309.301312091884
236,18289.301901980583
237,18359.575048521867
238,18302.943424333134
239,18320.55704169407
240,18298.595313464466
241,18345.953208786457
242,18342.83679442558
243,18377.699399837064
244,18397.40384043349
245,18397.389873796965
246,18377.03808590684
247,18366.651312412665
248,18401.383418961745
249,18384.262208943157
250,18463.52022191263
