Reinas,Población inicial,Población final,Probabilidad de cruza,Probabilidad de mutación,Mejor fit,Tiempo de ejecución,Iteraciones
10,30,31,0.9,0.5,1,5.236189365386963,1000
10,30,31,0.9,0.5,1,5.270536661148071,1000
10,30,31,0.9,0.5,1,5.402431488037109,1000
10,30,31,0.9,0.5,1,5.300681114196777,1000
10,30,31,0.9,0.5,1,5.382967948913574,1000
10,30,31,0.9,0.5,0,1.118647813796997,211
10,30,31,0.9,0.5,0,4.166074752807617,761
10,30,31,0.9,0.5,1,5.19923996925354,1000
10,30,31,0.9,0.5,0,0.927527904510498,178
10,30,31,0.9,0.5,0,2.3318703174591064,447
10,30,31,0.9,0.5,1,5.181385517120361,1000
10,30,31,0.9,0.5,0,1.371525764465332,249
10,30,31,0.9,0.5,1,5.442773103713989,1000
10,30,31,0.9,0.5,0,0.46481800079345703,87
10,30,31,0.9,0.5,0,2.808342218399048,547
10,30,31,0.9,0.5,1,5.518526077270508,1000
10,30,31,0.9,0.5,0,0.24927067756652832,46
10,30,31,0.9,0.5,1,5.218649625778198,1000
10,30,31,0.9,0.5,1,5.181797742843628,1000
10,30,31,0.9,0.5,1,5.271492958068848,1000
10,30,31,0.9,0.5,0,0.2790067195892334,51
10,30,31,0.9,0.5,0,1.7332961559295654,331
10,30,31,0.9,0.5,0,1.8012220859527588,349
10,30,31,0.9,0.5,1,5.263174057006836,1000
10,30,31,0.9,0.5,1,5.168327808380127,1000
