Reinas,Población inicial,Población final,Probabilidad de cruza,Probabilidad de mutación,Mejor fit,Tiempo de ejecución,Iteraciones
12,36,37,0.9,0.5,0,6.709090709686279,795
12,36,37,0.9,0.5,1,8.464812994003296,1000
12,36,37,0.9,0.5,1,8.426206827163696,1000
12,36,37,0.9,0.5,0,0.7626795768737793,87
12,36,37,0.9,0.5,1,8.41199803352356,1000
12,36,37,0.9,0.5,0,2.060004234313965,250
12,36,37,0.9,0.5,0,3.7644567489624023,460
12,36,37,0.9,0.5,0,5.471636772155762,673
12,36,37,0.9,0.5,0,4.875670433044434,595
12,36,37,0.9,0.5,1,8.111368179321289,1000
12,36,37,0.9,0.5,0,0.8950591087341309,107
12,36,37,0.9,0.5,0,5.387274265289307,662
12,36,37,0.9,0.5,0,4.80485463142395,586
12,36,37,0.9,0.5,1,8.154147863388062,1000
12,36,37,0.9,0.5,1,8.26586627960205,1000
12,36,37,0.9,0.5,1,8.056777477264404,1000
12,36,37,0.9,0.5,0,0.4229319095611572,50
12,36,37,0.9,0.5,0,0.4460563659667969,42
12,36,37,0.9,0.5,1,8.219438076019287,1000
12,36,37,0.9,0.5,0,3.4335341453552246,419
12,36,37,0.9,0.5,1,8.326043844223022,1000
12,36,37,0.9,0.5,1,8.113460779190063,1000
12,36,37,0.9,0.5,1,8.210093259811401,1000
12,36,37,0.9,0.5,0,0.29740285873413086,34
12,36,37,0.9,0.5,1,8.225965976715088,1000
