Reinas,Población inicial,Población final,Probabilidad de cruza,Probabilidad de mutación,Mejor fit,Tiempo de ejecución,Iteraciones
8,24,25,0.9,0.5,0,0.13198566436767578,39
8,24,25,0.9,0.5,0,0.9327874183654785,290
8,24,25,0.9,0.5,0,1.2737789154052734,394
8,24,25,0.9,0.5,1,3.1218299865722656,1000
8,24,25,0.9,0.5,0,0.06675410270690918,19
8,24,25,0.9,0.5,1,3.0731256008148193,1000
8,24,25,0.9,0.5,0,1.146299123764038,359
8,24,25,0.9,0.5,0,1.3759784698486328,441
8,24,25,0.9,0.5,0,0.03891777992248535,10
8,24,25,0.9,0.5,0,0.23560476303100586,64
8,24,25,0.9,0.5,0,0.08803915977478027,24
8,24,25,0.9,0.5,0,2.311952829360962,682
8,24,25,0.9,0.5,0,0.6309561729431152,189
8,24,25,0.9,0.5,0,3.1171514987945557,956
8,24,25,0.9,0.5,0,0.09614205360412598,27
8,24,25,0.9,0.5,1,3.3202483654022217,1000
8,24,25,0.9,0.5,0,1.0498418807983398,297
8,24,25,0.9,0.5,0,1.1393165588378906,361
8,24,25,0.9,0.5,0,0.0939030647277832,28
8,24,25,0.9,0.5,0,1.599025011062622,459
8,24,25,0.9,0.5,1,3.3665106296539307,1000
8,24,25,0.9,0.5,1,3.302873134613037,1000
8,24,25,0.9,0.5,0,0.5106265544891357,157
8,24,25,0.9,0.5,1,3.478959321975708,1000
8,24,25,0.9,0.5,1,3.3580217361450195,1000
