Reinas,Población inicial,Población final,Probabilidad de cruza,Probabilidad de mutación,Mejor fit,Tiempo de ejecución,Iteraciones
9,27,27,0.9,0.5,1,4.034961223602295,1000
9,27,27,0.9,0.5,0,1.6243882179260254,394
9,27,27,0.9,0.5,0,0.5887465476989746,144
9,27,27,0.9,0.5,0,0.2694997787475586,63
9,27,27,0.9,0.5,0,2.4052653312683105,590
9,27,27,0.9,0.5,0,0.41674065589904785,98
9,27,27,0.9,0.5,0,0.10039806365966797,22
9,27,27,0.9,0.5,0,0.16923284530639648,38
9,27,27,0.9,0.5,1,4.069251537322998,1000
9,27,27,0.9,0.5,1,4.0685412883758545,1000
9,27,27,0.9,0.5,0,0.1250925064086914,27
9,27,27,0.9,0.5,0,2.5418567657470703,584
9,27,27,0.9,0.5,0,3.566312789916992,880
9,27,27,0.9,0.5,0,0.08713483810424805,20
9,27,27,0.9,0.5,0,1.0721113681793213,251
9,27,27,0.9,0.5,0,0.0850825309753418,19
9,27,27,0.9,0.5,0,0.7280077934265137,177
9,27,27,0.9,0.5,0,1.7769322395324707,426
9,27,27,0.9,0.5,0,1.1256191730499268,275
9,27,27,0.9,0.5,0,0.0904080867767334,20
9,27,27,0.9,0.5,0,1.087244987487793,241
9,27,27,0.9,0.5,0,0.16155624389648438,27
9,27,27,0.9,0.5,0,1.6145615577697754,255
9,27,27,0.9,0.5,0,0.30570006370544434,76
9,27,27,0.9,0.5,0,2.380945920944214,560
