Función,Dimensión,Semilla,f(x),Tiempo
Sphere,2,2669559788,31.184718740910384,0.02002716064453125
Sphere,2,3109257217,36.33801494335428,0.010013580322265625
Sphere,2,2257013086,20.43906005168901,0.008106231689453125
Sphere,2,2167867711,27.108379109548427,0.007867813110351562
Sphere,2,3434159798,12.416564259404991,0.0073909759521484375
Sphere,5,3562959789,9.14928626422255,0.010013580322265625
Sphere,5,3021920427,39.316589799918944,0.009775161743164062
Sphere,5,2877545126,74.0339231942753,0.010251998901367188
Sphere,5,3393173938,41.93810263589357,0.009775161743164062
Sphere,5,2226557729,37.22806239412362,0.010013580322265625
Sphere,10,2460755741,89.9741420918857,0.015735626220703125
Sphere,10,2468772873,131.8259758164333,0.015497207641601562
Sphere,10,3313802765,101.80893180384741,0.015020370483398438
Sphere,10,2788755991,95.66597497604037,0.015020370483398438
Sphere,10,2600322205,73.48407786949532,0.014066696166992188
