Función,Dimensión,Semilla,f(x),Tiempo
Rosenbrock,2,2260178238,348.2573792478158,0.016689300537109375
Rosenbrock,2,2584620456,141.28847100701174,0.014781951904296875
Rosenbrock,2,2746317585,232.73750134550426,0.010728836059570312
Rosenbrock,2,3179584073,61.01842189989557,0.0095367431640625
Rosenbrock,2,2165390215,0.7611029230525255,0.009775161743164062
Rosenbrock,5,4264190505,1109.325621621533,0.022411346435546875
Rosenbrock,5,2704335159,3533.660211263041,0.021219253540039062
Rosenbrock,5,2514236059,1054.301618720605,0.021457672119140625
Rosenbrock,5,3657353639,251.2314616281017,0.020742416381835938
Rosenbrock,5,2731019565,1723.5294079624275,0.021696090698242188
Rosenbrock,10,2539133630,2242.2690570653817,0.047206878662109375
Rosenbrock,10,3801920429,6664.706691725119,0.044345855712890625
Rosenbrock,10,4187935217,1039.2164728206856,0.04267692565917969
Rosenbrock,10,3031577737,3352.6974057699663,0.041484832763671875
Rosenbrock,10,2528916980,4593.770381271196,0.04220008850097656
