Función,Dimensión,Semilla,f(x),Tiempo
Ackley,2,3503552754,21.850782101070397,0.05078315734863281
Ackley,2,3596398997,21.052790214094355,0.016689300537109375
Ackley,2,3749333909,22.338734159365234,0.014066696166992188
Ackley,2,2678679324,22.115042123005978,0.01239776611328125
Ackley,2,3860182587,21.77759947663417,0.010728836059570312
Ackley,5,2702716812,21.595300522652487,0.01621246337890625
Ackley,5,2390527862,21.081349028314097,0.015020370483398438
Ackley,5,2669197933,21.53728733256681,0.014066696166992188
Ackley,5,3654087165,21.519740804651214,0.013828277587890625
Ackley,5,4189858521,21.295649738592484,0.013828277587890625
Ackley,10,3605137340,21.829775752725734,0.02193450927734375
Ackley,10,2856612706,21.780088040912055,0.021457672119140625
Ackley,10,2352972721,21.74146007416377,0.021457672119140625
Ackley,10,3302828899,21.46366721151936,0.0209808349609375
Ackley,10,2278341017,21.770044380206375,0.0209808349609375
