Iteración,Función de evaluación
1,47710.47124823995
2,47819.06629248944
3,47613.78746214349
4,47655.67537998871
5,47592.13369326482
6,47697.58089901566
7,47680.20580244257
8,47743.465367565164
9,47873.22440221375
10,47635.214704492595
11,46979.66983589207
12,47126.95944324066
13,46692.10887521818
14,46671.880078201866
15,46693.53384708053
16,46123.49407844335
17,46195.68861955554
18,46181.87722204908
19,46123.217695691885
20,46008.0780562266
21,45626.66777962951
22,45772.54066285206
23,46075.783912798695
24,45634.90016555115
25,45712.601855347864
26,45707.09470666335
27,45574.820629239824
28,45744.33001533535
29,45594.058083974465
30,45450.333123966906
31,45609.15828898601
32,45426.68128976537
33,44959.18461907306
34,45128.694005168596
35,44979.41341608938
36,44749.00802423945
37,44683.34987180722
38,44765.672605988744
39,44722.3708222946
40,44879.06288168709
41,44744.18177693827
42,44809.09115221062
43,44765.97946735586
44,44749.35383747381
45,44380.63242318164
46,44422.64311079992
47,44495.77206264693
48,44831.12093166087
49,44404.28425738317
50,44509.73146313401
51,44443.30520787055
52,44436.54881823411
53,44435.996545547554
54,44399.351384530506
55,44436.98408045934
56,44171.492920721896
57,44381.32013494759
58,44178.72334736936
59,44446.090683423776
60,44135.310218233135
61,44562.37605696176
62,44130.06581145087
63,44417.62677212476
64,44106.41397724935
65,44145.43492773673
66,44293.276956635265
67,44338.828922916335
68,44066.24254944203
69,44294.10101325065
70,44180.166640853946
71,44069.227215103354
72,44479.57253255883
73,44906.09599851005
74,43867.04877065864
75,43344.59773699241
76,43387.67874822019
77,43482.51226108245
78,43337.053007501236
79,43450.97709891316
80,44173.92179090793
81,43726.66354755483
82,43532.7660173811
83,43260.34653088748
84,43270.86044377473
85,43334.227203792296
86,43276.032504310264
87,43516.953808535734
88,43372.90786861292
89,43316.76991426358
90,43319.11351553805
91,43500.91229925935
92,42861.24391929059
93,42999.15844338063
94,43468.89967757104
95,43282.201822216535
96,43348.00084844651
97,43249.737900183885
98,42850.73000640335
99,42811.3884213408
100,43046.99382738619
101,42694.275495694645
102,42896.45394013934
103,43189.51691149949
104,42839.29297654728
105,42935.1967999201
106,42656.76612294209
107,42839.214519286455
108,42720.7895877547
109,42931.36388564398
110,42743.06407673887
111,42850.62262937
112,42686.18085731166
113,43008.30911423512
114,42881.64591789116
115,42752.28788316661
116,43103.24513305329
117,42684.23672172276
118,42866.5933371678
119,42881.64591789116
120,42844.913614167584
121,42664.31085243327
122,42773.33582479184
123,42362.53569316224
124,42508.40857638478
125,42391.532793296996
126,42354.30330724058
127,42333.070863205314
128,42685.01394866103
129,42133.34685093748
130,42127.593678974226
131,42368.51498319968
132,42315.74117019973
133,42066.56607597106
134,42180.49016738298
135,42131.16169040935
136,42679.0299333438
137,42270.82929618038
138,42109.64708719884
139,41907.32029360674
140,42519.784150979496
141,41986.51267190144
142,42101.17680003465
143,42328.27819653269
144,41874.16725427234
145,42422.04918539444
146,42161.728214946226
147,42396.63824602112
148,41905.87954243671
149,42083.994468498044
150,42178.90790945939
151,41813.335349141285
152,41891.94612629487
153,42003.61119954825
154,42054.25665336674
155,41810.4935871201
156,41949.2132320466
157,41669.778515597034
158,41680.669581178576
159,42008.29905789387
160,41503.70423901515
161,41741.825191754586
162,41681.74039596152
163,41563.783775326476
164,41950.40304314307
165,41778.302001717035
166,41544.441648968466
167,41673.78153765587
168,41642.42388394164
169,41808.4448942022
170,41254.4428458272
171,41275.49618039864
172,41724.612313567806
173,41670.90549251571
174,41295.21264976468
175,41320.31919980762
176,41275.74739659084
177,41371.6517674519
178,41798.21838833962
179,41471.46040647071
180,41281.50056855408
181,41469.64805977959
182,41767.28837529465
183,41420.220213480585
184,41359.20225835081
185,41517.10597459947
186,41278.51590289276
187,41527.777296080705
188,41890.979760265516
189,41323.338922301744
190,41244.28637110767
191,41786.82399897961
192,41432.43386233317
193,41690.985175235604
194,41170.61805738216
195,41425.21906649778
196,41180.83792755808
197,41383.0902577784
198,41158.43132230434
199,41237.04209945793
200,41270.887663236615
201,41700.968950176284
202,41370.90352270058
203,41170.61805738216
204,41412.70178682377
205,41476.09085952384
206,41398.47652119078
207,41231.64566038533
208,41200.03279175173
209,41266.522428243225
210,41458.17901805605
211,41168.56414161927
212,41740.9287522947
213,41345.529483782695
214,40897.61964061637
215,41011.698909812476
216,40925.09023939705
217,40957.69917692771
218,41420.09063236516
219,41346.73577378554
220,40911.303834068276
221,40426.005347922364
222,40602.97069008579
223,40490.600962360666
224,40447.23779195764
225,40436.22521809828
226,40664.12630066181
227,40531.45255367321
228,40260.44520349146
229,40281.677647526725
230,40401.160275014525
231,40289.442303626216
232,40314.47705465846
233,39962.04234521826
234,40085.695117042706
235,39949.85561014044
236,39963.53980359234
237,40021.92294719808
238,39995.25209175673
239,40188.41959854141
240,39930.876903315715
241,39962.5891914801
242,40023.61679448327
243,40377.37777649978
244,39687.97674897476
245,39698.19661915068
246,39906.56910378901
247,39803.64382490152
248,39731.349658485095
249,39585.467361455856
250,40111.879539015805
251,39697.92370238813
252,39738.742368379506
253,39459.581053899325
254,39519.66059021067
255,39965.023178434174
256,39598.30069882583
257,39616.35339046187
258,39470.09496678658
259,39492.79923546719
260,39497.565565567245
261,39678.467451424905
262,39620.508586347976
263,39680.27156162019
264,39665.807976666445
265,39834.38867638935
266,39535.00434205892
267,39571.40929613047
268,39750.16144771619
269,39393.78212342007
270,39394.06102516409
271,39587.05447607963
272,39494.46121218614
273,39656.49349783303
274,39662.923396814076
275,40009.549045127846
276,39636.14475460569
277,39899.503149698925
278,39362.3487369997
279,39660.7515952729
280,39616.94974611532
281,39550.49622822521
282,39397.345838840294
283,39066.977294456025
284,39552.294838174086
285,39339.131913202495
286,39195.113420214504
287,39538.59158715003
288,39339.131913202495
289,39172.424500206864
290,39366.75879267485
291,39091.870966434246
292,39259.97074537158
293,39552.294838174086
294,39543.36311136835
295,39249.425690800395
296,39095.97439459078
297,39079.164029533844
298,39408.948835961695
299,39354.53825512991
300,39128.0048974592
301,39538.59158715003
302,39593.38947201597
303,39001.69220633745
304,39140.41185126395
305,39300.09506461065
306,39306.4328615245
307,39062.71980934062
308,39476.51824643304
309,39143.139544566235
310,38990.80114075591
311,39373.89426159594
312,39164.56928394291
313,38983.25641126472
314,39505.72740301351
315,39287.99706645179
316,39126.83368892466
317,39283.03790948355
318,39245.688883933675
319,39366.34953210477
320,38997.76448719346
321,39468.57395498277
