Iteración,Función de evaluación
1,48884.757521568856
2,48880.69392588877
3,48791.95820824927
4,48762.00698409122
5,49192.517360805534
6,48859.66586135399
7,48646.63159054758
8,48776.9453564544
9,49047.43589436138
10,48735.335617410376
11,48627.778117312046
12,48687.647954432294
13,48561.3445339454
14,48585.80658351678
15,48787.001374178675
16,48371.092715112034
17,48191.750657844445
18,47936.135834498964
19,48116.2229768331
20,48059.407236373496
21,48512.18415408139
22,47623.26597314766
23,47767.71626945832
24,47653.217197305705
25,47818.463035325105
26,47607.67432841261
27,47920.544189763925
28,47392.68925219553
29,47495.10720428801
30,47439.43712755706
31,47387.241394337194
32,46775.29326095184
33,46797.60170064915
34,46175.139892303894
35,46200.48448393437
36,46179.025879184366
37,46361.12828555616
38,46359.11302151851
39,46054.81666876156
40,46084.76789291961
41,46654.06340918392
42,46119.992225103495
43,45871.24770639696
44,46234.68748418615
45,45930.86207251972
46,45934.95439011759
47,46044.584877397225
48,46234.68748418615
49,45931.11754351722
50,45779.64522219638
51,45974.84228437382
52,45839.25958831913
53,45992.12801427785
54,45868.38093983587
55,45791.989380116676
56,45741.77931279541
57,45887.680288178526
58,46075.13527327293
59,45568.46587696094
60,45479.66052039644
61,46078.90726081879
62,45813.01648087396
63,45674.85758257389
64,45668.58018105634
65,45507.81646182538
66,45528.1339196505
67,45788.342019468735
68,45434.364072359574
69,45499.53962870151
70,45479.66052039644
71,45457.82396708184
72,45218.72869401434
73,45413.925756191784
74,45160.660472980504
75,45129.305443419755
76,45044.09049835212
77,44738.043360001524
78,44817.006574359824
79,44696.644038572325
80,43971.14613784141
81,44086.45167672569
82,43885.15189692545
83,44145.977055936775
84,44128.63978130567
85,43760.66232809022
86,43624.503828372355
87,44067.81492186327
88,43595.266629787686
89,43598.07066097684
90,43686.80637861634
91,43743.97163635996
92,43379.13954347778
93,43507.98752694054
94,43353.79495184732
95,43517.94879674903
96,43366.32344333251
97,43621.93826667799
98,43512.224418715625
99,43369.295038360564
100,43481.810183546186
101,43570.48982902245
102,43350.84365285241
103,43513.5368497703
104,43723.14389294042
105,43962.791786237765
106,43684.199613329925
107,43946.44277927987
108,43767.62273255161
109,43250.11644038839
110,43439.00872696664
111,43583.47240086591
112,43313.823124109025
113,43998.554561038516
114,43259.60431950367
115,43414.27028529011
116,44052.32991595216
117,43469.04755788745
118,42426.591561504785
119,42454.055052522104
120,43256.26852808588
121,42092.02917257785
122,41757.92491367359
123,42353.524040101045
124,41873.00438843323
125,41761.65487829882
126,41825.36156201945
127,41620.2630187502
128,42215.862145177656
129,41953.61897922772
130,41839.19413624926
131,41551.90910227237
132,41428.30397196581
133,41557.45414612101
134,42040.25210535116
135,41718.892719881405
136,42309.58279316903
137,41790.329851910064
138,41517.03968960531
139,41215.73697165547
140,41827.68510504082
141,41471.351795000955
142,41092.50915844983
143,41068.04710887845
144,41312.33824410681
145,41088.242303297564
146,41093.024201073626
147,41110.203788138446
148,41308.00927729071
149,41362.3054688818
150,41509.803280772816
151,41523.53457778793
152,41974.30302227684
153,41178.23914614126
154,41509.803280772816
155,41337.31533630199
156,41523.53457778793
157,41338.577168680735
158,40979.13971531688
159,41296.55954912655
160,40894.64355524212
161,40904.13143435739
162,41025.863084988065
163,40669.397284498395
164,40487.249142935834
165,40547.11898005608
166,41056.239886123425
167,40587.97635539985
168,40299.0228954176
169,40372.96118702498
170,40273.70379060265
171,40148.98678239384
172,40178.898368041664
173,40172.44667711611
174,40845.37636601488
175,40294.88775777696
176,40457.66828146613
177,40180.3418119546
178,40214.16233873578
179,40158.47466150912
180,40108.358227462275
181,40231.58604066792
182,40158.2165638461
183,40130.666667159596
184,40399.45667695896
185,40377.46865205141
186,40027.91715383384
187,40186.20206040006
188,40003.778067915715
189,40004.38412673392
190,40365.81481636614
191,39995.23739128918
192,40122.12214694461
193,40249.43742052329
194,40018.070723810975
195,40045.095727673004
196,40178.45011126776
197,39991.312603804996
198,40041.17094018882
199,40327.808667676836
200,40071.75367743344
201,40363.612843893
202,40716.810504535904
203,39740.693913322546
204,40352.6420467079
205,39769.69494217508
206,39710.69876459356
207,39730.89395901267
208,39740.693913322546
209,39768.82042518589
210,39446.883759173536
211,39755.56525824583
212,39147.555933752694
