Iteración,Función de evaluación
1,48609.04529986312
2,48630.58993582042
3,48448.01226024535
4,48616.006754821734
5,48856.024783664296
6,48933.25732646938
7,48644.5203988414
8,48574.51543652838
9,48444.79742240209
10,48598.65614836023
11,48840.57818362778
12,48841.307292677295
13,48723.41635935929
14,48392.307537384855
15,48522.02555151115
16,48586.49757670655
17,48454.40287735189
18,48594.16976910259
19,48420.53402019451
20,48144.20986283853
21,47919.88598093226
22,47771.06154949764
23,47808.468818735026
24,47616.605368436845
25,47765.92400279298
26,47634.90559106611
27,47680.42726903231
28,47085.4993332638
29,47680.42726903231
30,47721.52792823389
31,47778.83130893845
32,47321.404293319596
33,47311.98806426494
34,47134.28968826245
35,47209.894979845216
36,47275.79949145239
37,47294.16758326243
38,47236.864202557874
39,46717.69918418229
40,46501.848960208685
41,46395.614617656465
42,46563.60911223286
43,46853.041633275316
44,46114.77994012428
45,46362.073058105045
46,46595.98284597641
47,46878.161253447775
48,46773.6812219789
49,46536.692794594244
50,46487.42939598599
51,46498.085813422855
52,46500.08117871519
53,46205.8363337652
54,46108.0507661846
55,46276.51172768508
56,46337.53107673219
57,46022.37909562718
58,45949.60454338352
59,45882.21183836625
60,45990.71108363093
61,45695.862558799294
62,45920.186440705555
63,45645.97960518398
64,45252.694431913165
65,45042.33365496951
66,45548.35989737105
67,44605.75467057713
68,44783.56405090867
69,44288.12185790253
70,44146.90787221538
71,44204.21125291994
72,44269.04060083392
73,44263.605287256396
74,44141.283573619236
75,44417.607730975215
76,45025.26564919787
77,44168.935344537735
78,44132.09376441187
79,44236.05364071501
80,44230.30000551071
81,43751.40623447591
82,44241.58630395457
83,43798.62198452299
84,44063.412700159635
85,43834.50993718264
86,43994.26041921273
87,44752.30963497497
88,44387.54559248355
89,44098.22029551587
90,44002.22386973027
91,43778.53132070274
92,43851.3058729464
93,43921.31083525941
94,43921.31083525941
95,44011.956827277114
96,43420.803057920144
97,43758.39562374857
98,43394.317630496225
99,44039.09665034176
100,43321.543078252565
101,43507.89235781953
102,43357.682341876105
103,43348.028505676484
104,43526.25285004583
105,43723.11097227993
106,43413.53393541268
107,43364.41396409854
108,43447.51766680527
109,43778.87306241878
110,42996.43948387953
111,43475.33325491434
112,43066.444446192545
113,43234.905407693026
114,43131.94987592875
115,43622.12994540742
116,43196.77922384273
117,43224.1309742579
118,43617.416147528726
119,43406.53934149607
120,43046.32159392636
121,43138.71090880946
122,43170.72968408474
123,42948.11535282752
124,42391.726681195934
125,42505.004897392806
126,42533.23648438588
127,42523.48300694124
128,42572.76644926783
129,42615.87232182434
130,42177.68671127782
131,42601.28998498838
132,42696.8517296534
133,42706.26795870805
134,42704.817700546264
135,42652.169241584845
136,42510.659438394905
137,42913.847204087215
138,42652.169241584845
139,42734.81350867944
140,42557.31898116634
141,42389.66272965228
142,42714.7238932668
143,42487.868970751115
144,42423.03962283714
145,42447.053409126005
146,42763.702218763756
147,42891.90267526952
148,42929.44817549268
149,42698.427601113006
150,42591.15247021048
151,42999.79760868415
152,42466.14231350874
153,42055.059568774326
154,42463.704707248
155,42458.247334466636
156,42363.9667164664
157,42292.73131881537
158,42392.65213460275
159,42203.88400020896
160,42382.1083445783
161,42044.00610520897
162,42467.60937891954
163,42068.776902981204
164,42148.92647309292
165,42104.916166604744
166,42121.654931141115
167,41793.913248667785
168,41943.592035923335
169,42102.82039635985
170,41803.10305787515
171,42112.01020556722
172,41726.391147264905
173,42119.67632053571
174,42008.237301564324
175,41950.69458932501
176,42103.70416871135
177,41770.057415311225
178,42021.43160729822
179,41884.537389442085
180,41947.75579131371
181,42062.242491662546
182,41879.75841850989
183,42163.34258858203
184,42227.48443093007
185,41733.621774455634
186,41813.77134456735
187,41986.09917103125
188,41866.57765472213
189,41903.013295577715
190,41807.09562120885
191,42079.668860789956
192,42088.941775508276
193,41674.5932247208
194,42262.751277207455
195,42034.00961997384
196,42132.02024033965
197,41791.601076946965
198,42379.75912943362
199,42073.447231246384
200,42080.09399190583
201,41969.825421316316
202,41747.934808900645
203,41985.6173002447
204,42469.8950542278
205,41362.287549723726
206,41421.76958323701
207,41393.07700443522
208,41275.53912744484
209,41435.41702244482
210,41348.31367968851
211,41126.71469601022
212,41110.329237588165
213,41382.902477169264
214,41605.77143059431
215,41234.73732774655
216,41278.790199088646
217,41083.84381016425
218,41015.96554880361
219,41061.51333223208
220,41660.744568649134
221,41218.32659370343
222,40971.88924136103
223,40894.431809625414
224,40885.01558057076
225,41109.319022630865
226,41503.7922412891
227,41193.92272826283
228,40937.11688465452
229,41014.574316390135
230,41054.654761644895
231,41142.58354780865
232,41257.149465752824
