Iteración,Función de evaluación
1,32707.348189171644
2,32649.561372205877
3,32661.365759612498
4,32703.5806821425
5,32651.434138385364
6,32695.334414665096
7,32387.751100111007
8,32445.537917076777
9,32405.41923893201
10,32346.14254450451
11,32100.08805763005
12,32193.330364044712
13,32190.85943426467
14,31990.10998526458
15,32174.477884702217
16,32193.44651592664
17,32288.70760226187
18,32277.696093249353
19,32107.290373675227
20,32228.33703817922
21,32004.891285495047
22,32189.62758288925
23,32040.024251798503
24,32020.553703931
25,31976.65342765127
26,31933.62093406228
27,31933.960347977853
28,31993.527944393667
29,32265.321543305203
30,32036.328142628896
31,31950.302018102273
32,32019.0921884049
33,31578.751648148802
34,31231.50905128955
35,31568.46511883471
36,31317.535175816174
37,31453.190458420562
38,31384.763927095544
39,31452.770695748037
40,31489.312891666432
41,31566.89829230187
42,31643.718976044034
43,31620.291564381376
44,31720.79137799968
45,31929.089656101238
46,31709.709155092307
47,31787.478127389382
48,31850.8527986442
49,31800.90367541252
50,31784.401737951834
51,31691.15943153717
52,31804.10528151734
53,31827.251778675276
54,31749.698216175493
55,31530.19617172821
56,31866.620887406683
57,31516.77062370507
58,31560.6708999848
59,31699.008055864182
60,31581.40475667648
61,31571.29461999362
62,31580.804516919896
63,31578.393877289913
64,31451.66070168399
65,31363.68802026356
66,31366.098659893545
67,31172.367731530776
68,31456.589160241623
69,31391.748232539707
70,31184.21350561929
71,31184.6021680273
72,31164.511161699185
73,31159.91721897519
74,31038.81721075988
75,31324.189489369222
76,31088.8378731005
77,31119.191878529637
78,31114.379435148396
79,31142.29893445794
80,31248.254934869154
81,31467.75697931643
82,31162.22881034253
83,31153.72337104686
84,31095.316322544226
85,31143.453710124428
86,31090.488822647603
87,31088.483425487597
88,31091.756508340233
89,31014.058539074984
90,30986.375155160626
91,30980.30887297605
92,31007.992256890408
93,30964.09198061068
94,30970.158262795256
95,30997.65577769519
96,30972.079532135278
97,31050.08561261788
98,31296.14009949234
99,31108.492661120516
100,31203.135823166755
101,31127.639175117667
102,31114.9070132343
103,31064.886350893677
104,30925.86244691151
105,30984.528767565378
106,30810.672747129247
107,30920.65472466722
108,30761.15870105638
109,30805.058977336113
110,30779.63456277325
111,30723.14388154216
112,30615.382030611967
113,30681.52681828702
114,30612.10894775933
115,30610.30744857059
116,30820.505634246903
117,30944.769412302845
118,30782.94749780297
119,31117.194112552905
120,30836.856778881523
121,30825.920178708122
122,30773.437600876692
123,30827.589350093476
124,30728.317400716893
125,30768.436078861654
126,30849.127197428657
127,31019.53136513299
128,30893.36389696281
129,30755.01909806709
130,30773.202733235514
131,30827.112014314072
132,30781.708172531184
133,30528.76353314693
134,30569.74323603176
135,30488.760165268406
136,30689.69314727121
137,30788.36183890298
138,30836.002762127657
139,30546.14545546752
140,30469.855218786804
141,30520.309440785
142,30483.800181758877
143,30575.131692738338
144,30468.10916591604
145,30493.68541147595
146,30462.042883731465
147,30435.63016474113
148,30455.100712608637
149,30413.031009012535
150,30424.34595234302
151,30638.004012559726
152,30436.45842067519
153,30424.676883218974
154,30472.81427079918
155,30558.8403953258
156,30612.749676404357
157,30547.070887161826
158,30491.163402141217
159,30518.127753195422
160,30489.477289333692
161,30485.867495494887
162,30562.94772979244
163,30458.61157511163
164,30430.928191197272
165,30507.427760640778
166,30641.4499973513
167,30430.72281746064
168,30371.16497980461
169,30381.514416279384
170,30335.52678082492
171,30339.465839118504
172,30339.465839118504
173,30624.061016509768
174,30291.021517430552
175,30154.096647009053
176,30246.291958569273
177,30220.241434684107
178,30376.605677294607
179,30215.618902620274
180,30163.9023149362
181,30247.30880820562
182,30135.365001338807
183,30178.56976775448
184,30073.225588898586
185,30113.04395132342
186,30077.97682443485
187,30073.07483554093
188,30008.25343492451
189,30094.365341708057
190,29870.021533601357
191,29857.696401234884
192,29901.77832531125
193,29995.928302558037
194,29867.50206916203
195,29922.674369755092
196,29951.593768628645
197,29740.046225937193
198,30074.508189669446
199,29701.121911125774
200,29774.31990355419
201,29751.576133123966
202,29751.46814144428
203,29878.93179402199
204,29968.558927526552
205,30039.80508945527
206,29997.292865632848
207,29814.527742666585
208,29833.432689148187
209,30004.699139860088
210,30035.56452958884
211,29834.643598669034
212,29849.90399190338
213,29840.94046165692
214,29914.138454085336
215,29863.90879925383
216,29862.530735024855
217,29867.672393822748
218,29912.792593982547
219,29821.075249773723
220,29922.886489774613
221,29815.178474857275
222,29820.992889148074
223,29924.55470437366
224,29744.659446865942
225,29836.482777788893
226,29768.960738715967
227,29753.502506298333
228,29525.747513431113
229,29585.33640992437
230,29839.354163276934
231,29836.997305471596
232,29657.508667413884
233,29617.570844354064
234,29686.855545426428
235,29663.20580322617
236,29901.792273064915
237,29772.783427243234
238,29657.53686143827
239,29661.65276843043
240,29726.056819785837
241,29620.672800123037
242,29836.25491814734
243,29708.99571245454
244,29625.397840349797
245,29652.362191404
246,29860.39914879135
247,29807.57477429317
248,29740.685103735508
249,29800.300710078016
250,30019.212643512845
251,29801.986822885534
252,29891.322379974343
253,30225.56899472428
254,30047.15764407259
255,29931.140742399177
256,29880.68652040098
257,29916.709712917796
258,29998.20598552729
259,29859.245823011785
260,29887.508454196017
261,30074.82794103609
262,29847.35863519315
263,29823.017090488054
264,29963.42485410741
265,29843.1329464905
266,29902.212879144005
267,29894.614193139983
268,29971.694427437535
269,29833.272077027686
270,29899.826868423752
271,29861.38754817658
272,29915.539297393363
273,29830.99859929738
274,29872.746244400994
275,29836.914554118586
276,29833.740064031852
277,29839.636838948303
278,29901.159094559524
279,29892.35269143904
280,29920.036075353397
281,29915.284839817134
282,29941.18739811656
283,30039.380006154322
284,29939.808317236304
285,29941.225705357476
286,29901.407342932645
287,29837.122725256006
288,29984.927314791406
289,29965.621170366794
290,29804.035104656377
291,29805.921070195458
292,29937.68222417823
293,29805.581656279883
294,30085.865842523264
295,29789.283285639925
296,29824.1261372649
297,29949.474884612755
298,29825.30647815674
299,29788.619915026877
300,29690.107665608695
301,29694.85890114496
302,29833.882805127127
303,29837.46723550903
304,29746.317236507923
305,29721.280556452213
306,29722.659637332472
307,29731.27976855429
308,29884.329979103168
