Instancia,Mejor evaluación,Temperatura inicial,Temperatura final,Tiempo de ejecución
xqf131,3062.114635594551,20,1.8181818181818232,3.2649264335632324
xqf131,3199.2052303042287,20,1.8181818181818232,3.2028520107269287
xqf131,3215.2198498571342,20,1.8181818181818232,3.3196427822113037
xqf131,2920.8773557396694,20,1.8181818181818232,3.3001039028167725
xqf131,3458.636123312682,20,1.8181818181818232,3.2145955562591553
xqf131,2999.5671798134817,20,1.8181818181818232,3.251434326171875
xqf131,2821.7664591531748,150,1.973684210526327,3.281726121902466
xqf131,3112.433588747427,150,1.973684210526327,3.273336887359619
xqf131,3141.6694143076693,150,1.973684210526327,3.5732924938201904
xqf131,2775.3478367593243,150,1.973684210526327,3.2380714416503906
xqf131,2972.0852148918702,150,1.973684210526327,3.382633924484253
xqf131,3046.6641842420163,150,1.973684210526327,3.3273673057556152
xqf131,2792.023279753466,200,1.9801980198019897,3.26230525970459
xqf131,3091.988319530242,200,1.9801980198019897,3.140498161315918
xqf131,2863.2845307647094,200,1.9801980198019897,3.3094165325164795
xqf131,3001.5371704483623,200,1.9801980198019897,3.282834768295288
xqf131,3126.999159185214,200,1.9801980198019897,3.233966588973999
xqf131,3123.685524396503,200,1.9801980198019897,3.288316011428833
xqf131,2865.8509109984816,1000,1.9960079840319447,3.2425360679626465
xqf131,2919.603558421933,1000,1.9960079840319447,3.2807061672210693
xqf131,2901.9200824937816,1000,1.9960079840319447,3.2880783081054688
xqf131,3027.396558022467,1000,1.9960079840319447,3.2258787155151367
xqf131,2950.214731131956,1000,1.9960079840319447,3.2690882682800293
xqf131,2956.7021131048305,1000,1.9960079840319447,3.203254222869873
xqf131,3066.2497107788904,2000,1.9980019980020065,3.270538330078125
xqf131,3142.776594674823,2000,1.9980019980020065,3.2363033294677734
xqf131,2987.3270122169715,2000,1.9980019980020065,3.260969638824463
xqf131,2977.4446057843825,2000,1.9980019980020065,3.266408681869507
xqf131,3119.534789155928,2000,1.9980019980020065,3.2161948680877686
xqf131,3166.9584084051176,2000,1.9980019980020065,3.2797391414642334
