Instancia,Mejor evaluación,Temperatura inicial,Temperatura final,Tiempo de ejecución
pbl395,14240.15927002296,10,2.000000000000009,7.758316516876221
pbl395,14566.824276680549,10,2.000000000000009,7.290742635726929
pbl395,14553.242186339836,10,2.000000000000009,7.345207214355469
pbl395,14394.776727844875,10,2.000000000000009,7.265409469604492
pbl395,14054.012503418,10,2.000000000000009,7.465496778488159
pbl395,14298.805942365776,10,2.000000000000009,7.421679973602295
pbl395,14204.27256486693,150,2.4590163934426386,7.767476797103882
pbl395,14508.898866884534,150,2.4590163934426386,7.482243537902832
pbl395,13651.70965979682,150,2.4590163934426386,7.371969938278198
pbl395,13995.742665102602,150,2.4590163934426386,7.243168354034424
pbl395,14187.05313437939,150,2.4590163934426386,7.514389753341675
pbl395,14547.072680615525,150,2.4590163934426386,7.333606481552124
pbl395,14205.360304441178,250,2.47524752475248,7.24100136756897
pbl395,14432.179759863455,250,2.47524752475248,7.563114404678345
pbl395,14023.837581444437,250,2.47524752475248,7.522948265075684
pbl395,13919.445110610197,250,2.47524752475248,7.510490894317627
pbl395,14269.617516811297,250,2.47524752475248,8.004124164581299
pbl395,14457.055660033457,250,2.47524752475248,7.488012075424194
pbl395,14610.561340817654,1000,2.4937655860349177,7.741526126861572
pbl395,13986.506743268035,1000,2.4937655860349177,7.771123886108398
pbl395,14732.909007085374,1000,2.4937655860349177,7.48404598236084
pbl395,14288.95617798658,1000,2.4937655860349177,9.041476726531982
pbl395,14015.06393948227,1000,2.4937655860349177,8.227720022201538
pbl395,14752.210612236137,1000,2.4937655860349177,7.596048831939697
pbl395,14217.092508115195,2000,2.4968789013732886,7.6201324462890625
pbl395,14178.246834189831,2000,2.4968789013732886,7.615870714187622
pbl395,14028.021737036897,2000,2.4968789013732886,7.450774431228638
pbl395,13924.418620755932,2000,2.4968789013732886,7.500898122787476
pbl395,14836.836856798167,2000,2.4968789013732886,7.508968114852905
pbl395,14329.62569298167,2000,2.4968789013732886,7.438047647476196
